"public_traded","ticker","exchange","market_cap","revenue","no_employes","founding_date","location","related_domains","domain"
" Yes "," ETSY "," Nasdaq "," $20.42B "," $1.73B "," 1,600 "," 2005 "," Brooklyn, New York "," etsy.com, etsy.co.uk, etsy.de, etsy.fr, etsy.ca, etsy.com.au, etsy.jp, etsy.in, etsy.mx, etsy.pl, etsy.es, etsy.it, etsy.nl, etsy.se, etsy.dk, etsy.no, etsy.fi, etsy.at, etsy.ch, etsy.be, etsy.lu, etsy.ie, etsy.hk, etsy.sg, etsy.my, etsy.ph, etsy.id, etsy.th, etsy.vn, etsy.kr, etsy.tw, etsy.com.br, etsy.cl, etsy.co.il, etsy.co.nz, etsy.com.co, etsy.pe, etsy.ar, etsy.uy, etsy.ec, etsy.bo, etsy.py, etsy.do, etsy.sv, etsy.hn, etsy.ni, etsy.cr, etsy.pa, etsy.gt ","etsy.com"
" Yes "," BBY "," NYSE "," $22.33B "," $46.57B "," 100,000 "," 1966 "," Richfield, Minnesota "," bestbuy.com, bestbuycanada.ca, geekquad.com, magnolia.com, pacificsales.com, fivestar.com ","bestbuy.com"
" Yes "," EBAY "," NASDAQ "," $41.96B "," $10.3B "," 14,000 "," 1995 "," San Jose, California "," ebay.com, ebay.co.uk, ebay.de, ebay.fr, ebay.it, ebay.es, ebay.com.au, ebay.ca, ebay.sg, ebay.my, ebay.ph, ebay.co.th, ebay.co.id, ebay.co.nz, ebay.com.hk, ebay.com.tw, ebay.co.kr, ebay.jp, ebay.com.cn, ebay.in, ebay.com.mx, ebay.co.il, ebay.co.za, ebay.com.tr, ebay.com.ar, ebay.cl, ebay.com.co, ebay.com.pe, ebay.com.uy, ebay.com.ve, ebay.at, ebay.be, ebay.ch, ebay.dk, ebay.fi, ebay.gr, ebay.ie, ebay.lu, ebay.nl, ebay.no, ebay.pl, ebay.pt, ebay.se, ebay.ch ","ebay.co.uk"
" Yes "," LOW "," NYSE "," $57.41B "," $96.3B "," 300,000 "," 1946 "," Mooresville, NC "," lowes.com, loweshomeimprovement.com, lowescreativeideas.com, lowesforpros.com, lowes.ca, lowes.com.mx, lowes.com.au, lowes.co.nz, lowes.co.uk ","lowes.com"
" Yes "," EBAY "," Nasdaq "," $41.55B "," $10.7B ",NA," 1995 "," San Jose, California "," ebay.com, paypal.com, stubhub.com, cargurus.com, ebayclassifiedsgroup.com, ebayinc.com ","ebay.de"
" Yes "," COST "," NASDAQ "," $224.46B "," $222.72B "," 298,000 "," 1976 "," Issaquah, Washington "," costco.com, costcowholesale.com, costcotravel.com, costcopharmacy.com, costcobusinessdelivery.com, costcophotocenter.com, costcojobs.com, costco.ca, costco.com.mx, costco.co.uk, costco.com.au, costco.jp, costco.kr, costco.com.tw, costco.com.hk, costco.com.cn, costco.fr, costco.es, costco.de, costco.com.ar, costco.cl, costco.com.co, costco.com.pe ","costco.com"
" Yes "," NKE "," NYSE "," $203.52B "," $37.4B "," 75,400 "," 1964 "," Beaverton, Oregon "," nike.com, nikeid.nike.com, nikeblog.com, nikecreate.nike.com, nikemerch.com, nikefuelband.com, nikestore.com, nikewomen.com, hurley.com, converse.com, oneills.com ","nike.com"
" No ","  ","  ","  ","  "," 171,000 "," 1943 "," Älmhult, Sweden "," ikea.com, ikea.se, ikea.de, ikea.fr, ikea.co.uk, ikea.es, ikea.it, ikea.nl, ikea.be, ikea.ch, ikea.at, ikea.dk, ikea.no, ikea.fi, ikea.pl, ikea.cz, ikea.hu, ikea.sk, ikea.ro, ikea.bg, ikea.rs, ikea.hr, ikea.si, ikea.ua, ikea.kz, ikea.by, ikea.ru, ikea.cn, ikea.jp, ikea.kr, ikea.tw, ikea.hk, ikea.sg, ikea.my, ikea.id, ikea.th, ikea.vn, ikea.ph, ikea.mx, ikea.us, ikea.ca ","ikea.com"
" Yes "," MGLU3 "," B3 (Brasil Bolsa Balcão) "," R$12.3 billion "," R$10.2 billion ",NA," 1957 "," São Paulo, Brazil "," www.magazineluiza.com.br, www.magazineluiza.com, www.magazineluiza.net, www.magazineluiza.com.co, www.magazineluiza.com.pe, www.magazineluiza.com.ar, www.magazineluiza.cl, www.magazineluiza.com.uy, www.magazineluiza.com.py ","magazineluiza.com.br"
" Yes "," KSS "," NYSE "," $10.96B "," $19.44B "," 100,000 "," 1927 "," Menomonee Falls, Wisconsin "," kohls.com, kohlscorporation.com, searshometownstores.com, kohlspay.com, kohlscharge.com ","kohls.com"
" No ","  ","  ","  ","  ","  "," 2008 "," Guangzhou, China "," shein.com, shein.co.uk, shein.com.mx, shein.com.br, shein.com.au, shein.de, shein.fr, shein.es, shein.it, shein.pl ","shein.com"
" Yes "," JWN "," NYSE "," $10.18B "," $15.4B "," 72,000 "," 1901 "," Seattle, WA "," nordstrom.com, nordstromrack.com, nordstromlocal.com, trunkclub.com, nordstrom.ca, nordstrom.co.uk, nordstrom.de, nordstrom.fr, nordstrom.se, nordstrom.nl, nordstrom.dk, nordstrom.fi, nordstrom.ie, nordstrom.at, nordstrom.be, nordstrom.lu, nordstrom.es, nordstrom.pt, nordstrom.it, nordstrom.pl, nordstrom.gr, nordstrom.cz, nordstrom.sk, nordstrom.hu, nordstrom.ro, nordstrom.bg, nordstrom.hr, nordstrom.si, nordstrom.cy, nordstrom.mt, nordstrom.ee, nordstrom.lv, nordstrom.lt, nordstrom.by, nordstrom.ua, nordstrom.kz, nordstrom.uz, nordstrom.kg, nordstrom.tj, nordstrom.tm, nordstrom.ge, nordstrom.am, nordstrom.az, nordstrom.md, nordstrom.ua, nordstrom.by, nordstrom.ru, nordstrom.cn, nordstrom.jp, nordstrom.kr, nordstrom.sg, nordstrom.my, nordstrom.id, nordstrom.th, nordstrom.vn, nordstrom.ph, nordstrom.mm, nordstrom.kh, nordstrom.la, nordstrom.bn, nordstrom.sg, nordstrom.my, nordstrom.id, nordstrom.th, nordstrom.vn, nordstrom.ph, nordstrom.mm, nordstrom.kh, nordstrom.la, nordstrom.bn ","nordstrom.com"
" No ","  ","  ","  ","  ",NA," 1883 "," London, United Kingdom "," currys.co.uk, pcworld.co.uk, dixons.co.uk, carphonewarehouse.com ","currys.co.uk"
" Yes "," WMT "," NYSE "," $350.29B "," $559.15B "," 2.3 million "," 1962 "," Bentonville, Arkansas "," samsclub.com, samsclubcareers.com, samsclubnow.com ","samsclub.com"
" No ","  ","  ","  ","  ","  "," 1980 "," Pleasant Prairie, Wisconsin, U.S. "," uline.com, uline.ca, uline.mx, uline.co.uk, uline.de, uline.fr, uline.es, uline.it, uline.nl, uline.be, uline.se, uline.dk, uline.no, uline.fi, uline.at, uline.ch, uline.lu, uline.ie, uline.pt, uline.gr, uline.cz, uline.sk, uline.hu, uline.pl, uline.ro, uline.bg, uline.rs, uline.hr, uline.si, uline.ba, uline.me, uline.mk, uline.al, uline.kz, uline.uz, uline.tj, uline.kg, uline.tm, uline.az, uline.ge, uline.am, uline.by, uline.ua, uline.md, uline.ru, uline.kz, uline.uz, uline.tj, uline.kg, uline.tm, uline.az, uline.ge, uline.am, uline.by, uline.ua, uline.md, uline.ru, uline.co.jp, uline.com.au, uline.co.nz, uline.sg, uline.com.my, uline.co.th, uline.com.hk, uline.co.id, uline.ph, uline.com.vn, uline.com.tw, uline.co.kr, uline.com.cn, uline.com.mx, uline.com.co, uline.com.pe, uline.com.ec, uline.com.ar, uline.com.uy, uline.com.py, uline.com.bo, uline.com.gt, uline.com.sv, uline.com.hn, uline.com.ni, uline.com.cr, uline.com.pa, uline.com.do, uline.com.cu, uline.com.jm, uline.com.tt, uline.com.sr, uline.com.gy, uline.com.bz, uline.com.ve, uline.com.br, uline.com.pe, uline.com.bo, uline.com.ec, uline.com.co, uline.com.ar, uline.com.uy, uline.com.py, uline.com.gt, uline.com.sv, uline.com.hn, uline.com.ni, uline.com.cr, uline.com.pa, uline.com.do, uline.com.cu, uline.com.jm, uline.com.tt, uline.com.sr, uline.com.gy, uline.com.bz, uline.com.ve, uline.com.br ","uline.com"
" No ","  ","  ","  ","  ","  "," 1945 "," Hamburg, Germany "," otto.de ","otto.de"
" No ","  ","  ","  ","  ","  "," 1999 "," Atlanta, Georgia "," gunbroker.com ","gunbroker.com"
" No ","  ","  ","  ","  ","  "," 1999 "," Redwood City, California "," shutterfly.com ","shutterfly.com"
" No ","  ","  ","  ","  ",NA," 2006 "," Palo Alto, CA "," next.com, nextcloud.com ","next.co.uk"
" Yes "," KR "," NYSE "," $28.48B "," $138.3B "," 465,000 "," 1883 "," Cincinnati, Ohio "," kroger.com, kingsoopers.com, citymarket.com, fryfoods.com, ralphs.com, harristeeter.com, food4less.com, foodsco.com, jaycfoodstores.com, owensmarket.com, paylessgroceries.com, simpletruth.com, kroger.com.au, kroger.ca, kroger.co.uk, kroger.de, kroger.es, kroger.fr, kroger.it, kroger.nl, kroger.pl, kroger.pt, kroger.se, kroger.ch ","kroger.com"
" Yes "," MKS "," London Stock Exchange "," £4.3 billion "," £10.1 billion "," 80,000 "," 1884 "," London, United Kingdom "," marksandspencer.com, marksandspencer.co.uk, marksandspencerfood.com, marksandspencerclothing.com, marksandspencerhome.com, marksandspencerbeauty.com, marksandspencerfinancialplanning.com, marksandspencerbank.com, marksandspencerinsurance.com, marksandspencerenergy.com ","marksandspencer.com"
" Yes "," GPS "," NYSE "," $16.59B "," $16.7B "," 135,000 "," 1969 "," San Francisco, California "," gapinc.com, oldnavy.com, bananarepublic.com, athleta.com, hillcity.com, intermixonline.com, janieandjack.com, piperlime.com, weddingtonway.com ","gap.com"
" No ","  ","  ","  ","  ","  "," 1902 "," Plano, Texas "," jcpenney.com ","jcpenney.com"
" Yes "," CHWY "," NYSE ",NA,NA," 20,000 "," 1999 "," Dania Beach, Florida "," chewy.com, pet360.com, onlynaturalpet.com, fetch401k.com, justfoodfordogs.com, modernbeast.com, americanjourneybrand.com, tuxmat.com ","chewy.com"
" Yes "," NTDOY "," Tokyo Stock Exchange "," $67.88B "," $15.3B "," 5,563 "," 1889 "," Kyoto, Japan "," nintendo.co.jp, nintendo.com, nintendo.net, nintendo.com.au, nintendo.co.uk, nintendo.de, nintendo.fr, nintendo.es, nintendo.it, nintendo.nl, nintendo.be, nintendo.ch, nintendo.at, nintendo.dk, nintendo.se, nintendo.no, nintendo.fi, nintendo.pt, nintendo.gr, nintendo.ru, nintendo.com.hk, nintendo.com.tw, nintendo.co.kr, nintendo.com.sg, nintendo.com.my, nintendo.co.th, nintendo.com.ph, nintendo.com.vn, nintendo.com.id, nintendo.com.mx, nintendo.com.co, nintendo.com.pe, nintendo.com.cl, nintendo.com.ar, nintendo.com.br ","nintendo.com"
" No ","  ","  ","  ","  ","  "," 2007 "," London, England "," farfetch.com, farfetch.co.uk, farfetch.fr, farfetch.de, farfetch.it, farfetch.es, farfetch.nl, farfetch.be, farfetch.lu, farfetch.at, farfetch.ch, farfetch.se, farfetch.dk, farfetch.no, farfetch.fi, farfetch.pl, farfetch.cz, farfetch.hu, farfetch.sk, farfetch.ro, farfetch.bg, farfetch.gr, farfetch.cy, farfetch.mt, farfetch.lb, farfetch.jo, farfetch.iq, farfetch.kw, farfetch.sa, farfetch.ae, farfetch.qa, farfetch.bh, farfetch.om, farfetch.ye, farfetch.ma, farfetch.tn, farfetch.dz, farfetch.ly, farfetch.eg, farfetch.sd, farfetch.ss, farfetch.et, farfetch.ke, farfetch.tz, farfetch.ug, farfetch.rw, farfetch.bi, farfetch.cd, farfetch.ao, farfetch.mz, farfetch.zm, farfetch.bw, farfetch.na, farfetch.ls, farfetch.sz, farfetch.mg, farfetch.re, farfetch.mu, farfetch.sc, farfetch.km, farfetch.mv, farfetch.lk, farfetch.bd, farfetch.np, farfetch.bt, farfetch.mn, farfetch.kh, farfetch.la, farfetch.vn, farfetch.th, farfetch.my, farfetch.sg, farfetch.id, farfetch.ph, farfetch.tw, farfetch.hk, farfetch.mo, farfetch.cn, farfetch.jp, farfetch.kr, farfetch.au, farfetch.nz, farfetch.us, farfetch.ca, farfetch.mx, farfetch.co, farfetch.pe, farfetch.cl, farfetch.ar, farfetch.uy, farfetch.py, farfetch.br, farfetch.ec, farfetch.bo, farfetch.ve, farfetch.do, farfetch.cr, farfetch.gt, farfetch.hn, farfetch.ni, farfetch.sv, farfetch.pa, farfetch.cu, farfetch.jm, farfetch.tt, farfetch.ag, farfetch.kn, farfetch.lc, farfetch.vc, farfetch.gd, farfetch.bb, farfetch.dm, farfetch.sx, farfetch.mf, farfetch.gp, farfetch.mq, farfetch.gf, farfetch.pm, farfetch.wf, farfetch.yt, farfetch.nc, farfetch.pf, farfetch.wf, farfetch.tv, farfetch.ck, farfetch.nu, farfetch.ws, farfetch.to, farfetch.tk, farfetch.vu, farfetch.fj, farfetch.sb, farfetch.pg, farfetch.gu, farfetch.mp, farfetch.ki, farfetch.mh, farfetch.fm, farfetch.pw, farfetch.nc, farfetch.vu, farfetch.ws, farfetch.to, farfetch.tk, farfetch.vu, farfetch.fj, farfetch.sb, farfetch.pg, farfetch.gu, farfetch.mp, farfetch.ki, farfetch.mh, farfetch.fm, farfetch.pw ","farfetch.com"
" No ","  ","  ","  ","  ","  "," 1863 "," New York City, New York "," bloomingdales.com, bloomingdalesoutlet.com, bloomingdalesfashion.com, bloomingdaleshome.com, bloomingdalesgifts.com, bloomingdalesregistry.com ","bloomingdales.com"
" No ","  ","  ","  ","  ",NA," 1973 "," Milton Keynes, England "," argos.co.uk ","argos.co.uk"
" No ","  ","  ","  ","  ","  "," 1991 "," Bethesda, Maryland "," totalwine.com ","totalwine.com"
" No ","  ","  ","  ","  ","  "," 1975 "," Arteixo, Spain "," zara.com, zarahome.com, zara.net, zara.es, zara.co.uk, zara.fr, zara.de, zara.it, zara.jp, zara.cn ","zara.com"
" Yes "," DELL "," New York Stock Exchange ",NA,NA," 133,000 "," 1984 "," Round Rock, Texas, U.S. "," dell.com, delltechnologies.com, dell.co.uk, dell.ca, dell.com.au, dell.co.nz, dell.sg, dell.my, dell.co.th, dell.co.id, dell.co.jp, dell.com.cn, dell.co.kr, dell.com.tw, dell.com.hk, dell.com.mx, dell.com.br, dell.com.ar, dell.com.co, dell.com.pe, dell.com.cl, dell.com.ec, dell.com.uy, dell.com.gt, dell.com.sv, dell.com.hn, dell.com.ni, dell.com.cr, dell.com.pa, dell.com.do, dell.com.pr ","dell.com"
" Yes "," TSCO "," London Stock Exchange ",NA,NA," 340,000 ",NA," Welwyn Garden City, Hertfordshire, England "," tesco.com, tescobank.com, tescomobile.com, tescoplc.com, tesco.ie, tesco.sk, tesco.cz, tesco.hu, tesco.pl, tesco.si, tesco.hr, tesco.bg, tesco.ro, tesco.th, tesco.kr, tesco.jp, tesco.tw, tesco.com.sg, tesco.com.my, tesco.com.cn, tesco.com.hk ","tesco.com"
" Yes "," SWY "," NYSE "," $34.63B "," $52.28B "," 240,000 "," 1915 "," Pleasanton, California "," safeway.com, safeway.ca, vons.com, pavilions.com, randalls.com, tomthumb.com, carrsqc.com, freshop.com, mealsimple.com, justforkids.com, o organics.com, delicioussurprises.com, safeway.com.mx ","safeway.com"
" No ","  ","  ","  ","  ","  "," 1983 "," London, United Kingdom "," hm.com ","hm.com"
" Yes "," SBRY "," London Stock Exchange "," £6.6 billion "," £24.8 billion "," 173,000 "," 1869 "," London, United Kingdom "," sainsburys.co.uk, sainsburysbank.co.uk, habitat.co.uk, argos.co.uk, tuclothing.sainsburys.co.uk, nectar.com, sainsburysenergy.co.uk, sainsburyshome.co.uk, sainsburys.com, sainsburysgroceries.co.uk, sainsburysonline.co.uk, sainsburyspharmacy.co.uk, sainsburystravel.co.uk, sainsburyswine.co.uk, sainsburysbank.co.uk, sainsburysbank.com, sainsburysbank.net, sainsburysbank.org, sainsburysbank.info, sainsburysbank.biz, sainsburysbank.mobi, habitat.co.uk, habitat.com, habitat.net, habitat.org, habitat.info, habitat.biz, habitat.mobi, argos.co.uk, argos.com, argos.net, argos.org, argos.info, argos.biz, argos.mobi, tu.sainsburys.co.uk, tu.sainsbury's.co.uk, tu.sainsburys.com, tu.sainsbury's.com, tu.net, tu.org, tu.info, tu.biz, tu.mobi, nectar.com, nectar.net, nectar.org, nectar.info, nectar.biz, nectar.mobi, nectar360.com, nectar360.net, nectar360.org, nectar360.info, nectar360.biz, nectar360.mobi, sainsburysenergy.co.uk, sainsburysenergy.com, sainsburysenergy.net, sainsburysenergy.org, sainsburysenergy.info, sainsburysenergy.biz, sainsburysenergy.mobi, sainsburyshome.co.uk, sainsburyshome.com, sainsburyshome.net, sainsburyshome.org, sainsburyshome.info, sainsburyshome.biz, sainsburyshome.mobi ","sainsburys.co.uk"
" No ","  ","  ","  ","  ","  "," 1963 "," Dodgeville, Wisconsin, United States "," landsend.com, landsendoutfitters.com, landsendstyle.com, landsendcanvas.com, landsend.co.uk, landsend.de, landsend.fr, landsend.jp, landsend.ca ","landsend.com"
" Yes "," DKS "," NYSE "," $11.38B "," $10.5B "," 48,000 "," 1948 "," Coraopolis, Pennsylvania "," dicks.com, golfgalaxy.com, fieldandstream.com, publiclands.com ","dickssportinggoods.com"
" No ","  ","  ","  ","  ","  "," 1999 "," City of Industry, California "," newegg.com, neweggbusiness.com, newegg.ca, newegg.com.au, newegg.co.uk, newegg.de, newegg.fr, newegg.es, newegg.it, newegg.nl, newegg.be, newegg.se, newegg.dk, newegg.fi, newegg.no, newegg.pl, newegg.at, newegg.ch ","newegg.com"
" Yes "," SNE "," NYSE "," $130.73B "," $89.9B "," 111,700 "," 1946 "," Minato, Tokyo, Japan "," sony.com, sonymobile.com, sonypictures.com, sonymusic.com, playstation.com, alphauniverse.com, sonyalpharumors.com, sonypicturesanimation.com, sonypicturesclassics.com, sonypictureshomeentertainment.com ","sony.com"
" Yes "," WSM "," NYSE "," $13.96B "," $6.36B ",NA," 1956 "," San Francisco, CA "," williamssonoma.com, potterybarn.com, westelm.com, rejuvenation.com, markandgraham.com, williamssonoma.ca, potterybarnkids.com, westelm.ca, rejuvation.ca, markandgraham.ca ","williamssonoma.com"
" Yes "," GRMN "," NYSE "," $31.12B "," $4.99B ",NA," 1989 "," Olathe, Kansas, U.S. "," garmin.com, navigon.com, outdoor.garmin.com, garmin.blogs.com, mygarmin.com ","garmin.com"
" No ","  ","  ","  ","  ","  "," 1986 "," West Chester, Pennsylvania, U.S. "," qvc.com, qvcuk.com, qvc.de, qvc.it, qvc.fr, qvc.co.jp, qvc.com.mx, qvc.com.au ","qvc.com"
" No ","  ","  ","  "," £4.9 billion (2022) "," 80,000 (2022) "," 1864 "," London, England "," johnlewis.com, waitrose.com, johnlewisfinance.com, johnlewispartnership.co.uk, and petplan.co.uk ","johnlewis.com"
" Yes "," ULTA "," Nasdaq "," $16.54B "," $7.85B "," 36,000 "," 1990 "," Bolingbrook, Illinois "," ulta.com, ulta.ca, ulta.mx, ultarewards.com, ultastudio.com, ultaprofessional.com, ulta.jobs, ulta.com.au ","ulta.com"
" Yes "," LNVGY "," NYSE "," $13.47B "," $71.55B "," 75,000 "," 1984 "," Beijing, China "," lenovo.com, thinkpad.com, motorola.com, moto.com ","lenovo.com"
" Yes "," ASC "," London Stock Exchange "," £2.63 billion "," £3.94 billion "," 3,700 "," 2000 "," London, United Kingdom "," asos.com, asosstatus.com, asosmedia.com, asostechnologies.com, asoscareers.com, asosplc.com, asosna.com, asosmarketplace.com, asostalent.com, thisisasos.com, thisisasoscareers.com, thisisasosplc.com, thisisasosna.com, thisisasosmarketplace.com, thisisasostalent.com, thisisasostechnologies.com, thisisasosmedia.com ","asos.com"
" No ","  ","  ","  ","  ","  "," 1977 "," Calabasas, California "," harborfreight.com, harborfreighttools.com, freightcatalog.com, bauertools.com, predatorgenerator.com, centralpneumatic.com, chicagoelectric.com, daytonabrasives.com, diehardbatteries.com, earthquaketools.com, fitchfuel.com, generacpower.com, gopowertools.com, herculestools.com, icontools.com, jettools.com, jennair.com, jetstreamtools.com, masterforcetools.com, powerfisttools.com, quickshottools.com, rapidpump.com, rockytools.com, simontools.com, solarforceproducts.com, southerntool.com, stingerwelders.com, superiortool.com, tektontools.com, usageneu.com, wernersafety.com, westerntools.com, winchesterflashlights.com, yamatotools.com ","harborfreight.com"
" No ","  ","  ","  ","  ","  "," 1986 "," Lausanne, Switzerland "," nespresso.com, nespressoprofessional.com, nespresso.ch, nespresso.fr, nespresso.de, nespresso.at, nespresso.es, nespresso.pt, nespresso.be, nespresso.nl, nespresso.lu, nespresso.dk, nespresso.se, nespresso.no, nespresso.fi, nespresso.ie, nespresso.co.uk, nespresso.com.au, nespresso.jp, nespresso.kr, nespresso.com.cn, nespresso.com.sg, nespresso.com.my, nespresso.co.th, nespresso.com.vn, nespresso.com.tw, nespresso.com.hk, nespresso.com.mx, nespresso.com.co, nespresso.com.pe, nespresso.com.ar, nespresso.com.cl, nespresso.com.uy, nespresso.com.br ","nespresso.com"
" No ","  ","  ","  ","  ","  "," 1907 "," Dallas, Texas "," neimanmarcus.com, bergdorfgoodman.com, mytheresa.com, neimanmarcusgroup.com ","neimanmarcus.com"
" Yes "," WBA "," NASDAQ "," $44.72B "," $141.55B "," 300,000 "," 1901 "," Deerfield, IL, U.S. "," walgreens.com, walgreensbootsalliance.com, walgreenslistens.com, walgreens.jobs, mywalgreens.com, walgreenshealth.com, walgreens.ca, walgreens.ie, walgreens.co.uk, walgreens.at, walgreens.de, walgreens.ch, walgreens.fr, walgreens.es, walgreens.it, walgreens.nl, walgreens.be, walgreens.lu, walgreens.dk, walgreens.se, walgreens.no, walgreens.fi, walgreens.pl, walgreens.cz, walgreens.hu, walgreens.sk, walgreens.ro, walgreens.bg, walgreens.rs, walgreens.hr, walgreens.si, walgreens.ba, walgreens.me, walgreens.mk, walgreens.al, walgreens.gr, walgreens.cy, walgreens.mt, walgreens.ee, walgreens.lv, walgreens.lt, walgreens.by, walgreens.ua, walgreens.kz, walgreens.uz, walgreens.kg, walgreens.tj, walgreens.tm, walgreens.az, walgreens.am, walgreens.ge, walgreens.md ","walgreens.com"
" No ","  ","  ","  ","  ","  "," 1930 "," Neckarsulm, Germany "," kaufland.de, kaufland.com, kaufland.pl, kaufland.cz, kaufland.sk, kaufland.ro, kaufland.bg, kaufland.hr, kaufland.mk, kaufland.rs ","kaufland.de"
" Yes "," 9983 "," Tokyo Stock Exchange "," $10.86 billion "," $21.1 billion "," 13,000 "," 1949 "," Tokyo, Japan "," uniqlo.com, uniqlo.jp, uniqlo.cn, uniqlo.eu, uniqlo.com.hk, uniqlo.sg, uniqlo.ph, uniqlo.my, uniqlo.th, uniqlo.id, uniqlo.vn, uniqlo.com.tw, uniqlo.co.kr, uniqlo.in, uniqlo.com.au, uniqlo.com.mx, uniqlo.com.br, uniqlo.cl, uniqlo.ar, uniqlo.co.za, uniqlo.ae, uniqlo.com.tr, uniqlo.ru, uniqlo.com.pl, uniqlo.cz, uniqlo.sk, uniqlo.hu, uniqlo.ro, uniqlo.bg, uniqlo.hr, uniqlo.si, uniqlo.rs, uniqlo.ba, uniqlo.me, uniqlo.mk, uniqlo.al, uniqlo.ge, uniqlo.am, uniqlo.az, uniqlo.kz, uniqlo.kg, uniqlo.tj, uniqlo.uz, uniqlo.tm, uniqlo.mn, uniqlo.com.ua, uniqlo.by, uniqlo.kz, uniqlo.kg, uniqlo.tj, uniqlo.uz, uniqlo.tm, uniqlo.mn, uniqlo.com.ua, uniqlo.by ","uniqlo.com"
" No ","  ","  ","  ","  ","  "," 2015 "," Detroit, Michigan "," stockx.com, stockx.co.uk, stockx.de, stockx.fr, stockx.it, stockx.es, stockx.jp, stockx.ca, stockx.sg, stockx.com.au, stockx.hk, stockx.se, stockx.nl, stockx.be, stockx.at, stockx.ch ","stockx.com"
" No ","  ","  ","  ","  ","  "," 1990 "," New Albany, Ohio "," bathandbodyworks.com, whitebarn.com, aromatherapy.com, wallflowerplugs.com, candlescience.com, perfectworldcandles.com, yankeecandle.com, homeworx.com, glowbybathandbodyworks.com ","bathandbodyworks.com"
